Sample,Condition
mono6_n2_asp_atra,_asp_atra
mono6_n2_asp,_asp
mono6_n2_asp_vitd,_asp_vitd
mono6_n2_atra,_atra
mono6_n2_can_atra,_can_atra
mono6_n2_can,_can
mono6_n2_can_vitd,_can_vitd
mono6_n2_ctr,_ctr
mono6_n2_eco_atra,_eco_atra
mono6_n2_eco,_eco
mono6_n2_eco_vitd,_eco_vitd
mono6_n2_vitd,_vitd
mono6_n3_asp_atra,_asp_atra
mono6_n3_asp,_asp
mono6_n3_asp_vitd,_asp_vitd
mono6_n3_atra,_atra
mono6_n3_can_atra,_can_atra
mono6_n3_can,_can
mono6_n3_can_vitd,_can_vitd
mono6_n3_ctr,_ctr
mono6_n3_eco_atra,_eco_atra
mono6_n3_eco,_eco
mono6_n3_eco_vitd,_eco_vitd
mono6_n3_vitd,_vitd
mono6_n5_asp_atra,_asp_atra
mono6_n5_asp,_asp
mono6_n5_asp_vitd,_asp_vitd
mono6_n5_atra,_atra
mono6_n5_can_atra,_can_atra
mono6_n5_can,_can
mono6_n5_can_vitd,_can_vitd
mono6_n5_ctr,_ctr
mono6_n5_eco_atra,_eco_atra
mono6_n5_eco,_eco
mono6_n5_eco_vitd,_eco_vitd
mono6_n5_vitd,_vitd
mono6_n6_asp_atra,_asp_atra
mono6_n6_asp,_asp
mono6_n6_asp_vitd,_asp_vitd
mono6_n6_atra,_atra
mono6_n6_can_atra,_can_atra
mono6_n6_can,_can
mono6_n6_can_vitd,_can_vitd
mono6_n6_ctr,_ctr
mono6_n6_eco_atra,_eco_atra
mono6_n6_eco,_eco
mono6_n6_eco_vitd,_eco_vitd
mono6_n6_vitd,_vitd
